source_kind,method,system,returncode,energy_cp2k_hartree,energy_cli_hartree,energy_absdiff_hartree,gradient_diff_sum,gradient_diff_max,virial_diff_sum,virial_diff_max,exceeded_error_limit,skipped,source,run_dir
dmc13_gamma,GFN1,II,0,-6.947911798253E+01,-6.947911797525E+01,7.273015967257E-09,2.294341083549E-07,9.064339499473E-09,8.401353822473E-07,2.730652073346E-07,False,False,DMC-ICE13/inputs/ice_II_GFN1.inp,GFN1/II
dmc13_gamma,GFN1,III,0,-6.946250206751E+01,-6.946250206582E+01,1.694672846497E-09,3.810201302040E-07,1.898910105894E-08,5.477688166285E-07,2.237699394947E-07,False,False,DMC-ICE13/inputs/ice_III_GFN1.inp,GFN1/III
dmc13_gamma,GFN1,IV,0,-9.262040429527E+01,-9.262040429236E+01,2.909601448664E-09,8.943873890643E-07,2.702704974926E-08,1.132231191531E-06,2.648101545266E-07,False,False,DMC-ICE13/inputs/ice_IV_GFN1.inp,GFN1/IV
dmc13_gamma,GFN1,IX,0,-6.946932878732E+01,-6.946932877990E+01,7.418066161335E-09,1.236620245869E-06,3.573672322302E-08,3.374996281782E-06,1.261617043030E-06,True,False,DMC-ICE13/inputs/ice_IX_GFN1.inp,GFN1/IX
dmc13_gamma,GFN1,Ih,0,-6.944778993884E+01,-6.944778992923E+01,9.609919970899E-09,3.577940747738E-07,1.531375723712E-08,5.121115761514E-07,1.983831957875E-07,False,False,DMC-ICE13/inputs/ice_Ih_GFN1.inp,GFN1/Ih
dmc13_gamma,GFN1,VI,0,-5.790625693454E+01,-5.790625693083E+01,3.715229013324E-09,2.651503712063E-07,1.114874102585E-08,6.313095284533E-07,3.373669583973E-07,False,False,DMC-ICE13/inputs/ice_VI_GFN1.inp,GFN1/VI
dmc13_gamma,GFN1,VII,0,-6.939276490723E+01,-6.939276489488E+01,1.234948854290E-08,1.190038664921E-06,3.200730596536E-08,2.120544551418E-06,1.215177439701E-06,True,False,DMC-ICE13/inputs/ice_VII_GFN1.inp,GFN1/VII
dmc13_gamma,GFN1,VIII,0,-4.631034065330E+01,-4.631034065323E+01,7.576517191410E-11,5.963058772529E-07,3.150938385904E-08,1.206943656503E-06,4.354888926972E-07,False,False,DMC-ICE13/inputs/ice_VIII_GFN1.inp,GFN1/VIII
dmc13_gamma,GFN1,XI,0,-4.629376034503E+01,-4.629376033968E+01,5.347310150228E-09,6.196754360722E-07,2.555231021738E-08,1.231806857723E-06,4.636873311703E-07,False,False,DMC-ICE13/inputs/ice_XI_GFN1.inp,GFN1/XI
dmc13_gamma,GFN1,XIII,0,-1.621131931263E+02,-1.621131931262E+02,1.634248292248E-10,1.034597189474E-06,1.915728491120E-08,9.941524439385E-07,4.035084852916E-07,False,False,DMC-ICE13/inputs/ice_XIII_GFN1.inp,GFN1/XIII
dmc13_gamma,GFN1,XIV,0,-6.946380905364E+01,-6.946380905345E+01,1.857074494183E-10,3.150985070265E-07,1.051567770881E-08,8.768101441846E-08,6.238922467539E-08,False,False,DMC-ICE13/inputs/ice_XIV_GFN1.inp,GFN1/XIV
dmc13_gamma,GFN1,XV,0,-5.790613204273E+01,-5.790613203813E+01,4.599968406183E-09,2.692054506523E-07,1.107099953900E-08,7.072629600808E-07,3.692258486176E-07,False,False,DMC-ICE13/inputs/ice_XV_GFN1.inp,GFN1/XV
dmc13_gamma,GFN1,XVII,0,-3.473033112985E+01,-3.473033112533E+01,4.524679297901E-09,1.277111549221E-07,9.288790856279E-09,2.455757599444E-07,1.149214878954E-07,False,False,DMC-ICE13/inputs/ice_XVII_GFN1.inp,GFN1/XVII
dmc13_gamma,GFN2,II,0,-6.110161310407E+01,-6.110161310545E+01,1.381067704642E-09,3.475536646141E-07,9.932403443116E-09,3.685118104830E-07,1.215153715983E-07,False,False,DMC-ICE13/inputs/ice_II_GFN2.inp,GFN2/II
dmc13_gamma,GFN2,III,0,-6.109523464498E+01,-6.109523464604E+01,1.059873966369E-09,1.484734623837E-06,4.522995730900E-08,2.045308875558E-06,6.398901851168E-07,False,False,DMC-ICE13/inputs/ice_III_GFN2.inp,GFN2/III
dmc13_gamma,GFN2,IV,0,-8.145616146719E+01,-8.145616147134E+01,4.153790200689E-09,4.774727520397E-06,1.438146795402E-07,7.350959913959E-06,2.293485652005E-06,True,False,DMC-ICE13/inputs/ice_IV_GFN2.inp,GFN2/IV
dmc13_gamma,GFN2,IX,0,-6.109841157563E+01,-6.109841157568E+01,5.153566462468E-11,1.235323452271E-07,4.080076792916E-09,3.421739617374E-07,1.268318656766E-07,False,False,DMC-ICE13/inputs/ice_IX_GFN2.inp,GFN2/IX
dmc13_gamma,GFN2,Ih,0,-6.108934204021E+01,-6.108934204191E+01,1.705451779799E-09,1.793753578330E-06,5.201875187153E-08,2.073629392244E-06,7.756249115198E-07,False,False,DMC-ICE13/inputs/ice_Ih_GFN2.inp,GFN2/Ih
dmc13_gamma,GFN2,VI,0,-5.091205722307E+01,-5.091205722571E+01,2.640049956426E-09,3.115105192103E-06,7.757792229446E-08,5.621843112689E-06,1.324624232912E-06,True,False,DMC-ICE13/inputs/ice_VI_GFN2.inp,GFN2/VI
dmc13_gamma,GFN2,VII,0,-6.091359303445E+01,-6.091359303276E+01,1.685414474650E-09,1.517679030404E-07,2.547882935883E-09,2.597710532374E-07,1.638297739137E-07,False,False,DMC-ICE13/inputs/ice_VII_GFN2.inp,GFN2/VII
dmc13_gamma,GFN2,VIII,0,-4.070358256471E+01,-4.070358257137E+01,6.662695284376E-09,1.575100985160E-07,7.236615275769E-09,1.086437079740E-07,1.014364118812E-07,False,False,DMC-ICE13/inputs/ice_VIII_GFN2.inp,GFN2/VIII
dmc13_gamma,GFN2,XI,0,-4.071888188728E+01,-4.071888188872E+01,1.440639607608E-09,7.950265813100E-07,3.955284389075E-08,1.353874639981E-06,7.377101833850E-07,False,False,DMC-ICE13/inputs/ice_XI_GFN2.inp,GFN2/XI
dmc13_gamma,GFN2,XIII,0,-1.425883846008E+02,-1.425883846095E+02,8.757837122175E-09,5.424115980837E-06,9.600616376199E-08,4.372793332790E-06,1.806920970848E-06,True,False,DMC-ICE13/inputs/ice_XIII_GFN2.inp,GFN2/XIII
dmc13_gamma,GFN2,XIV,0,-6.108175108745E+01,-6.108175109139E+01,3.944741422401E-09,2.870898314955E-06,7.948401037523E-08,3.001797716624E-06,1.539754653668E-06,True,False,DMC-ICE13/inputs/ice_XIV_GFN2.inp,GFN2/XIV
dmc13_gamma,GFN2,XV,0,-5.091190078225E+01,-5.091190078520E+01,2.954095634777E-09,2.824514321720E-06,6.789841580721E-08,5.101679763338E-06,1.144165297395E-06,True,False,DMC-ICE13/inputs/ice_XV_GFN2.inp,GFN2/XV
dmc13_gamma,GFN2,XVII,0,-3.054804254739E+01,-3.054804254736E+01,3.512923285598E-11,2.855325781282E-06,1.509978808517E-07,1.851268170164E-06,7.332694604290E-07,False,False,DMC-ICE13/inputs/ice_XVII_GFN2.inp,GFN2/XVII
