index,phase,DMC_relative_kJmol,GFN1_relative_kJmol,GFN2_relative_kJmol,GFN1_error_kJmol,GFN2_error_kJmol
1,Ih,0.0000,0.0000,0.0000,0.0000,0.0000
2,II,0.3100,-7.5555,-3.4100,-7.8655,-3.7200
3,III,1.2500,-3.5966,-1.9882,-4.8466,-3.2382
4,IV,3.8300,-3.8224,-0.6390,-7.6524,-4.4690
5,VI,1.7800,-10.1359,-2.8751,-11.9159,-4.6551
6,VII,4.9900,-3.9211,8.3979,-8.9111,3.4079
7,VIII,4.2300,-9.4339,4.5721,-13.6639,0.3421
8,IX,0.6000,-5.0169,-2.6885,-5.6169,-3.2885
9,XI,0.1600,-1.3627,-0.4288,-1.5227,-0.5888
10,XIII,2.1200,-6.2652,-4.2263,-8.3852,-6.3463
11,XIV,1.7000,-7.0680,-1.2381,-8.7680,-2.9381
12,XV,1.7400,-10.0249,-2.7050,-11.7649,-4.4450
13,XVII,1.7500,-3.3999,-2.3660,-5.1499,-4.1160
