mesh,method,previous_MAE,current_MAE,delta_MAE,assessment
gamma,GFN1-xTB,6.696681,6.694624,-0.002057,better
gamma,GFN2-xTB,5.355715,5.578897,0.223182,worse
k222,GFN1-xTB,7.959770,7.956838,-0.002932,better
k222,GFN2-xTB,3.233027,3.510100,0.277073,worse
k333,GFN1-xTB,8.008187,8.005255,-0.002932,better
k333,GFN2-xTB,3.185301,3.462919,0.277618,worse
k444,GFN1-xTB,8.009427,8.006494,-0.002933,better
k444,GFN2-xTB,3.183780,3.461424,0.277644,worse
k555,GFN1-xTB,8.009417,8.006485,-0.002932,better
k555,GFN2-xTB,3.183706,3.461353,0.277647,worse
