# index phase DMC DMC_error GFN1 GFN2 GFN1_Gamma GFN2_Gamma PBE PBE-D4 PBE0 PBE0-D4 SCAN SCAN+rVV10
1 Ih 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2 II 0.310000 0.100000 -11.671633 -7.474315 -10.984043 -6.758234 6.690000 4.070000 5.350000 2.950000 1.580000 0.430000
3 III 1.250000 0.100000 -8.880911 -8.115825 -8.513045 -7.425129 4.380000 3.020000 4.200000 2.900000 2.470000 1.930000
4 IV 3.830000 0.100000 -5.111795 -0.429879 -5.122107 -0.398751 9.380000 6.650000 8.420000 5.890000 4.370000 3.090000
5 VI 1.780000 0.100000 -14.276826 -9.100930 -12.852263 -7.370604 10.650000 6.910000 9.080000 5.630000 3.840000 1.990000
6 VII 4.990000 0.100000 -17.182298 -7.728944 -1.094470 22.970617 18.440000 13.410000 15.590000 11.060000 6.840000 4.190000
7 VIII 4.230000 0.100000 -22.595468 -12.920382 -17.350808 -10.111663 17.180000 12.270000 14.240000 9.820000 5.330000 2.730000
8 IX 0.600000 0.100000 -8.444967 -7.259962 -8.146831 -6.564576 4.670000 2.870000 3.980000 2.260000 1.650000 0.880000
9 XI 0.160000 0.100000 0.072396 0.092350 2.993224 2.920539 -0.370000 -0.480000 -0.160000 -0.250000 -0.380000 -0.260000
10 XIII 2.120000 0.100000 -12.197594 -9.391303 -12.341897 -9.533327 7.690000 4.800000 6.590000 3.900000 2.470000 1.120000
11 XIV 1.700000 0.100000 -11.292214 -7.436407 -7.792765 -4.541101 8.990000 5.660000 7.730000 4.640000 2.960000 1.360000
12 XV 1.740000 0.100000 -13.997323 -8.681966 -12.648901 -7.078555 10.670000 7.040000 9.020000 5.680000 3.420000 1.650000
13 XVII 1.750000 0.100000 -7.312946 -3.627393 -6.740927 -2.752128 0.710000 1.010000 0.700000 1.040000 0.730000 0.970000
