# index phase GFN1_error GFN2_error GFN1_Gamma_error GFN2_Gamma_error PBE_error PBE-D4_error PBE0_error PBE0-D4_error SCAN_error SCAN+rVV10_error
1 Ih 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2 II -11.981633 -7.784315 -11.294043 -7.068234 6.380000 3.760000 5.040000 2.640000 1.270000 0.120000
3 III -10.130911 -9.365825 -9.763045 -8.675129 3.130000 1.770000 2.950000 1.650000 1.220000 0.680000
4 IV -8.941795 -4.259879 -8.952107 -4.228751 5.550000 2.820000 4.590000 2.060000 0.540000 -0.740000
5 VI -16.056826 -10.880930 -14.632263 -9.150604 8.870000 5.130000 7.300000 3.850000 2.060000 0.210000
6 VII -22.172298 -12.718944 -6.084470 17.980617 13.450000 8.420000 10.600000 6.070000 1.850000 -0.800000
7 VIII -26.825468 -17.150382 -21.580808 -14.341663 12.950000 8.040000 10.010000 5.590000 1.100000 -1.500000
8 IX -9.044967 -7.859962 -8.746831 -7.164576 4.070000 2.270000 3.380000 1.660000 1.050000 0.280000
9 XI -0.087604 -0.067650 2.833224 2.760539 -0.530000 -0.640000 -0.320000 -0.410000 -0.540000 -0.420000
10 XIII -14.317594 -11.511303 -14.461897 -11.653327 5.570000 2.680000 4.470000 1.780000 0.350000 -1.000000
11 XIV -12.992214 -9.136407 -9.492765 -6.241101 7.290000 3.960000 6.030000 2.940000 1.260000 -0.340000
12 XV -15.737323 -10.421966 -14.388901 -8.818555 8.930000 5.300000 7.280000 3.940000 1.680000 -0.090000
13 XVII -9.062946 -5.377393 -8.490927 -4.502128 -1.040000 -0.740000 -1.050000 -0.710000 -1.020000 -0.780000
