method,element,energy_hartree,source
GFN1,Al,-1.077596689578,tblite_cli
GFN1,B,-1.199869627904,tblite_cli
GFN1,C,-1.739321807483,tblite_cli
GFN1,Cl,-4.166353944017,tblite_cli
GFN1,F,-4.996944842726,tblite_cli
GFN1,H,-0.401429474462,tblite_cli
GFN1,Li,-0.267171442638,tblite_cli
GFN1,Mg,-0.732849208644,tblite_cli
GFN1,N,-2.895257910817,tblite_cli
GFN1,O,-4.350838188268,tblite_cli
GFN1,P,-2.421433744697,tblite_cli
GFN1,S,-3.534106598561,tblite_cli
GFN1,Si,-1.623448984743,tblite_cli
GFN2,Al,-0.905328611793,tblite_cli
GFN2,B,-0.952436614557,tblite_cli
GFN2,C,-1.793296370685,tblite_cli
GFN2,Cl,-4.482525134292,tblite_cli
GFN2,F,-4.619339955729,tblite_cli
GFN2,H,-0.393482759271,tblite_cli
GFN2,Li,-0.180071686575,tblite_cli
GFN2,Mg,-0.465974663792,tblite_cli
GFN2,N,-2.605824155152,tblite_cli
GFN2,O,-3.767606943642,tblite_cli
GFN2,P,-2.374178794732,tblite_cli
GFN2,S,-3.146456871004,tblite_cli
GFN2,Si,-1.569609938201,tblite_cli
