solid,structure,method,eos_mesh,energy_mesh,fit_status,sp_completed,a_calc_A,a_ref_exp_A,a_error_A,a_abs_error_A,ecoh_calc_eV_per_atom,ecoh_ref_exp_eV_per_atom,ecoh_error_eV_per_atom,ecoh_abs_error_eV_per_atom,solid_energy_hartree,atom_reference_source,a_HF_A,a_MP2_A,a_SCS_MP2_A,a_SOS_MP2_A,ecoh_HF_eV_per_atom,ecoh_MP2_eV_per_atom,ecoh_SCS_MP2_eV_per_atom,ecoh_SOS_MP2_eV_per_atom
C,diamond,GFN1,k444,k333,quadratic,True,3.55797344,3.553,0.00497344,0.00497344,10.78491288,7.55,3.23491288,3.23491288,-17.085280365506,tblite_cli,3.547,3.54,3.55,3.554,5.38,7.98,7.65,7.5
C,diamond,GFN1,k444,k444,quadratic,True,3.55797344,3.553,0.00497344,0.00497344,10.78721827,7.55,3.23721827,3.23721827,-17.085958137623,tblite_cli,3.547,3.54,3.55,3.554,5.38,7.98,7.65,7.5
C,diamond,GFN1,k444,k555,quadratic,True,3.55797344,3.553,0.00497344,0.00497344,10.78744878,7.55,3.23744878,3.23744878,-17.086025904794,tblite_cli,3.547,3.54,3.55,3.554,5.38,7.98,7.65,7.5
C,diamond,GFN2,k444,k333,quadratic,True,3.55511423,3.553,0.00211423,0.00211423,10.09685232,7.55,2.54685232,2.54685232,-17.314790795315,tblite_cli,3.547,3.54,3.55,3.554,5.38,7.98,7.65,7.5
C,diamond,GFN2,k444,k444,quadratic,True,3.55511423,3.553,0.00211423,0.00211423,10.10009349,7.55,2.55009349,2.55009349,-17.315743683711,tblite_cli,3.547,3.54,3.55,3.554,5.38,7.98,7.65,7.5
C,diamond,GFN2,k444,k555,quadratic,True,3.55511423,3.553,0.00211423,0.00211423,10.10043390,7.55,2.55043390,2.55043390,-17.315843762158,tblite_cli,3.547,3.54,3.55,3.554,5.38,7.98,7.65,7.5
Si,diamond,GFN1,k444,k333,quadratic,True,5.61418856,5.421,0.19318856,0.19318856,5.93234349,4.7,1.23234349,1.23234349,-14.731668694694,tblite_cli,5.508,5.399,5.425,5.437,3.03,4.97,4.69,4.56
Si,diamond,GFN1,k444,k444,quadratic,True,5.61418856,5.421,0.19318856,0.19318856,5.93833707,4.7,1.23833707,1.23833707,-14.733430775849,tblite_cli,5.508,5.399,5.425,5.437,3.03,4.97,4.69,4.56
Si,diamond,GFN1,k444,k555,quadratic,True,5.61418856,5.421,0.19318856,0.19318856,5.93927401,4.7,1.23927401,1.23927401,-14.733706231829,tblite_cli,5.508,5.399,5.425,5.437,3.03,4.97,4.69,4.56
Si,diamond,GFN2,k444,k333,quadratic,True,5.44331940,5.421,0.02231940,0.02231940,3.73914970,4.7,-0.96085030,0.96085030,-13.656169242606,tblite_cli,5.508,5.399,5.425,5.437,3.03,4.97,4.69,4.56
Si,diamond,GFN2,k444,k444,quadratic,True,5.44331940,5.421,0.02231940,0.02231940,3.73945387,4.7,-0.96054613,0.96054613,-13.656258664682,tblite_cli,5.508,5.399,5.425,5.437,3.03,4.97,4.69,4.56
Si,diamond,GFN2,k444,k555,quadratic,True,5.44331940,5.421,0.02231940,0.02231940,3.73951869,4.7,-0.96048131,0.96048131,-13.656277723551,tblite_cli,5.508,5.399,5.425,5.437,3.03,4.97,4.69,4.56
