source,family,method,n_a,a_ME_A,a_MAE_A,a_RMSE_A,n_ecoh,ecoh_ME_eV_per_atom,ecoh_MAE_eV_per_atom,ecoh_RMSE_eV_per_atom
This work: CP2K/tblite k444 EOS,GFN-xTB,GFN1,5,-0.02399785,0.18534460,0.21209480,5,1.62804910,1.62804910,1.85356533
This work: CP2K/tblite k444 EOS,GFN-xTB,GFN2,5,-0.09799378,0.15279179,0.21808960,5,1.04462299,1.42884144,1.62295578
Mo et al. 2017,DFT,HSE06,5,0.01960000,0.02120000,0.02858671,5,-0.20400000,0.20400000,0.21156559
Mo et al. 2017,DFT,LSDA,5,-0.03460000,0.03820000,0.05603392,5,0.69600000,0.69600000,0.76993506
Mo et al. 2017,DFT,PBE,5,0.06360000,0.06360000,0.06674429,5,-0.11200000,0.14000000,0.15735311
Mo et al. 2017,DFT,PBEsol,5,0.01860000,0.01860000,0.02244549,5,0.17800000,0.21400000,0.27066585
Mejia-Rodriguez and Trickey 2020,DFT,SCAN,5,0.00860000,0.00860000,0.01094532,5,-0.03800000,0.04280000,0.04813730
Mejia-Rodriguez and Trickey 2020,DFT,SCAN-L,5,0.01280000,0.01760000,0.02185406,5,-0.18120000,0.18120000,0.18228659
Mo et al. 2017,DFT,TM,5,0.01980000,0.01980000,0.02052803,5,-0.12400000,0.12400000,0.13069047
Mo et al. 2017,DFT,TPSS,5,0.04500000,0.04500000,0.04593691,5,-0.30600000,0.30600000,0.33211444
Mo et al. 2017,DFT,optB86b-vdW,5,0.03240000,0.03240000,0.03627120,5,0.05000000,0.07000000,0.07987490
Mejia-Rodriguez and Trickey 2020,DFT,r2SCAN,5,0.02000000,0.02000000,0.02266274,5,-0.06400000,0.06400000,0.07046418
Mejia-Rodriguez and Trickey 2020,DFT,r2SCAN-L,5,0.01320000,0.01320000,0.01712308,5,-0.19720000,0.19720000,0.19879135
Mo et al. 2017,DFT,revTPSS,5,0.01720000,0.01720000,0.02040588,5,-0.21400000,0.21400000,0.21480223
Goldzak et al. 2022,post-HF,HF,5,0.05540000,0.06140000,0.09057925,5,-1.53600000,1.53600000,1.61780098
Goldzak et al. 2022,post-HF,MP2,5,-0.01320000,0.02120000,0.02665333,5,0.25000000,0.25000000,0.27810070
Goldzak et al. 2022,post-HF,SCS-MP2,5,0.00360000,0.01000000,0.01162755,5,0.02800000,0.03200000,0.04774935
Goldzak et al. 2022,post-HF,SOS-MP2,5,0.01160000,0.01160000,0.01354991,5,-0.07800000,0.07800000,0.09000000
