source,family,method,n_a,a_ME_A,a_MAE_A,a_RMSE_A,n_ecoh,ecoh_ME_eV_per_atom,ecoh_MAE_eV_per_atom,ecoh_RMSE_eV_per_atom
This work: CP2K/tblite k444 EOS,GFN-xTB,GFN1,10,0.01677549,0.16917604,0.20396190,10,1.49737347,1.58718963,1.78345393
This work: CP2K/tblite k444 EOS,GFN-xTB,GFN2,10,-0.08048468,0.13326362,0.18299000,10,1.34201453,1.53412376,1.80117013
Mo et al. 2017,DFT,HSE06,7,0.01657143,0.01942857,0.02590643,5,-0.20400000,0.20400000,0.21156559
Mo et al. 2017,DFT,LSDA,8,-0.03537500,0.03762500,0.05099142,5,0.69600000,0.69600000,0.76993506
Mo et al. 2017,DFT,PBE,8,0.05462500,0.05462500,0.05867176,5,-0.11200000,0.14000000,0.15735311
Mo et al. 2017,DFT,PBEsol,8,0.01300000,0.01525000,0.01923538,5,0.17800000,0.21400000,0.27066585
Mejia-Rodriguez and Trickey 2020,DFT,SCAN,9,0.00733333,0.00911111,0.01117537,9,-0.00088889,0.06066667,0.07736494
Mejia-Rodriguez and Trickey 2020,DFT,SCAN-L,9,0.01022222,0.01288889,0.01791957,9,-0.11955556,0.13577778,0.14901603
Mo et al. 2017,DFT,TM,8,0.01962500,0.01962500,0.02182029,5,-0.12400000,0.12400000,0.13069047
Mo et al. 2017,DFT,TPSS,8,0.04100000,0.04100000,0.04249706,5,-0.30600000,0.30600000,0.33211444
Mo et al. 2017,DFT,optB86b-vdW,6,0.03033333,0.03033333,0.03410279,5,0.05000000,0.07000000,0.07987490
Mejia-Rodriguez and Trickey 2020,DFT,r2SCAN,9,0.01711111,0.01711111,0.02027039,9,-0.02866667,0.06511111,0.07466518
Mejia-Rodriguez and Trickey 2020,DFT,r2SCAN-L,9,0.01277778,0.01322222,0.01662996,9,-0.14988889,0.15188889,0.16759906
Mo et al. 2017,DFT,revTPSS,8,0.01975000,0.01975000,0.02347871,5,-0.21400000,0.21400000,0.21480223
Goldzak et al. 2022,post-HF,HF,10,0.05230000,0.05590000,0.07874452,10,-1.62300000,1.62300000,1.67549694
Goldzak et al. 2022,post-HF,MP2,10,-0.00940000,0.01800000,0.02272884,10,0.24800000,0.24800000,0.27881894
Goldzak et al. 2022,post-HF,SCS-MP2,10,0.00610000,0.01090000,0.01256583,10,0.03100000,0.06300000,0.08596511
Goldzak et al. 2022,post-HF,SOS-MP2,10,0.01350000,0.01350000,0.01560449,10,-0.07300000,0.08900000,0.10521407
