solid,method,mesh,reference_mesh,delta_ecoh_eV_per_atom
C,GFN1,k333,k555,-0.00253722
C,GFN1,k444,k555,-0.00023056
C,GFN2,k333,k555,-0.00357577
C,GFN2,k444,k555,-0.00033987
Si,GFN1,k333,k555,-0.00717930
Si,GFN1,k444,k555,-0.00098016
Si,GFN2,k333,k555,-0.00036181
Si,GFN2,k444,k555,-0.00006291
SiC,GFN1,k333,k555,-0.00022846
SiC,GFN1,k444,k555,-0.00002838
SiC,GFN2,k333,k555,-0.00035782
SiC,GFN2,k444,k555,0.00000503
BN,GFN1,k333,k555,-0.00028690
BN,GFN1,k444,k555,-0.00000986
BN,GFN2,k333,k555,-0.00068012
BN,GFN2,k444,k555,-0.00003816
BP,GFN1,k333,k555,-0.00627474
BP,GFN1,k444,k555,-0.00073678
BP,GFN2,k333,k555,-0.00329640
BP,GFN2,k444,k555,-0.00037397
AlN,GFN1,k333,k555,-0.00745086
AlN,GFN1,k444,k555,-0.00104317
AlN,GFN2,k333,k555,-0.00088165
AlN,GFN2,k444,k555,-0.00004717
AlP,GFN1,k333,k555,-0.00888550
AlP,GFN1,k444,k555,-0.00143000
AlP,GFN2,k333,k555,-0.00027436
AlP,GFN2,k444,k555,-0.00001326
MgO,GFN1,k333,k555,-0.02339181
MgO,GFN1,k444,k555,-0.00439722
MgS,GFN1,k333,k555,-0.00615135
MgS,GFN1,k444,k555,-0.00241731
MgS,GFN2,k333,k555,-0.00353362
MgS,GFN2,k444,k555,-0.00132455
LiH,GFN1,k333,k555,-0.01901039
LiH,GFN1,k444,k555,-0.00233518
LiF,GFN1,k333,k555,-0.03508932
LiF,GFN1,k444,k555,-0.00550936
LiF,GFN2,k333,k555,-0.00114867
LiF,GFN2,k444,k555,-0.00019603
LiCl,GFN1,k333,k555,-0.00832300
LiCl,GFN1,k444,k555,-0.00100999
LiCl,GFN2,k333,k555,-0.00645721
LiCl,GFN2,k444,k555,-0.00133532
