solid,structure,method,eos_mesh,energy_mesh,fit_status,sp_completed,sp_scf_strategy,a_calc_A,a_ref_exp_A,a_error_A,a_abs_error_A,ecoh_calc_eV_per_atom,ecoh_ref_exp_eV_per_atom,ecoh_error_eV_per_atom,ecoh_abs_error_eV_per_atom,solid_energy_hartree,atom_reference_source,a_HF_A,a_MP2_A,a_SCS_MP2_A,a_SOS_MP2_A,ecoh_HF_eV_per_atom,ecoh_MP2_eV_per_atom,ecoh_SCS_MP2_eV_per_atom,ecoh_SOS_MP2_eV_per_atom
C,diamond,GFN1,k444,k333,quadratic,True,,3.55851549,3.553,0.00551549,0.00551549,10.78023955,7.55,3.23023955,3.23023955,-17.083906429837,tblite_cli,3.547,3.54,3.55,3.554,5.38,7.98,7.65,7.5
C,diamond,GFN1,k444,k444,quadratic,True,,3.55851549,3.553,0.00551549,0.00551549,10.78254621,7.55,3.23254621,3.23254621,-17.084584577114,tblite_cli,3.547,3.54,3.55,3.554,5.38,7.98,7.65,7.5
C,diamond,GFN1,k444,k555,quadratic,True,,3.55851549,3.553,0.00551549,0.00551549,10.78277677,7.55,3.23277677,3.23277677,-17.084652359138,tblite_cli,3.547,3.54,3.55,3.554,5.38,7.98,7.65,7.5
C,diamond,GFN2,k444,k333,quadratic,True,,3.55491483,3.553,0.00191483,0.00191483,10.09638249,7.55,2.54638249,2.54638249,-17.314652668862,tblite_cli,3.547,3.54,3.55,3.554,5.38,7.98,7.65,7.5
C,diamond,GFN2,k444,k444,quadratic,True,,3.55491483,3.553,0.00191483,0.00191483,10.09961839,7.55,2.54961839,2.54961839,-17.315604007276,tblite_cli,3.547,3.54,3.55,3.554,5.38,7.98,7.65,7.5
C,diamond,GFN2,k444,k555,quadratic,True,,3.55491483,3.553,0.00191483,0.00191483,10.09995826,7.55,2.54995826,2.54995826,-17.315703924903,tblite_cli,3.547,3.54,3.55,3.554,5.38,7.98,7.65,7.5
Si,diamond,GFN1,k444,k333,quadratic,True,,5.61872215,5.421,0.19772215,0.19772215,5.92558195,4.7,1.22558195,1.22558195,-14.729680839960,tblite_cli,5.508,5.399,5.425,5.437,3.03,4.97,4.69,4.56
Si,diamond,GFN1,k444,k444,quadratic,True,,5.61872215,5.421,0.19772215,0.19772215,5.93178109,4.7,1.23178109,1.23178109,-14.731503352743,tblite_cli,5.508,5.399,5.425,5.437,3.03,4.97,4.69,4.56
Si,diamond,GFN1,k444,k555,quadratic,True,,5.61872215,5.421,0.19772215,0.19772215,5.93276125,4.7,1.23276125,1.23276125,-14.731791513650,tblite_cli,5.508,5.399,5.425,5.437,3.03,4.97,4.69,4.56
Si,diamond,GFN2,k444,k333,quadratic,True,,5.44617277,5.421,0.02517277,0.02517277,3.73792266,4.7,-0.96207734,0.96207734,-13.655808498337,tblite_cli,5.508,5.399,5.425,5.437,3.03,4.97,4.69,4.56
