source,family,method,solid,a_calc_A,ecoh_calc_eV_per_atom,a_error_A,ecoh_error_eV_per_atom
This work: CP2K/tblite k555 EOS,GFN-xTB,GFN1,C,3.55851417,10.78279294,0.00551417,3.23279294
This work: CP2K/tblite k555 EOS,GFN-xTB,GFN2,C,3.55491553,10.09995983,0.00191553,2.54995983
This work: CP2K/tblite k555 EOS,GFN-xTB,GFN1,Si,5.61868096,5.93281638,0.19768096,1.23281638
This work: CP2K/tblite k555 EOS,GFN-xTB,GFN2,Si,5.44617375,3.73828839,0.02517375,-0.96171161
This work: CP2K/tblite k555 EOS,GFN-xTB,GFN1,SiC,4.52339062,8.35259449,0.17639062,1.88259449
This work: CP2K/tblite k555 EOS,GFN-xTB,GFN2,SiC,4.41274812,6.81746144,0.06574812,0.34746144
This work: CP2K/tblite k555 EOS,GFN-xTB,GFN1,BN,3.62519236,8.29675279,0.03219236,1.53675279
This work: CP2K/tblite k555 EOS,GFN-xTB,GFN2,BN,3.63015014,9.53859814,0.03715014,2.77859814
This work: CP2K/tblite k555 EOS,GFN-xTB,GFN1,BP,4.57849690,6.19601643,0.05349690,1.05601643
This work: CP2K/tblite k555 EOS,GFN-xTB,GFN2,BP,4.55012571,6.22508105,0.02512571,1.08508105
This work: CP2K/tblite k555 EOS,GFN-xTB,GFN1,AlN,4.61212107,7.62348396,0.24412107,1.77348396
This work: CP2K/tblite k555 EOS,GFN-xTB,GFN2,AlN,4.31281556,8.39979471,-0.05518444,2.54979471
This work: CP2K/tblite k555 EOS,GFN-xTB,GFN1,AlP,5.57412042,6.86496947,0.12612042,2.55496947
This work: CP2K/tblite k555 EOS,GFN-xTB,GFN2,AlP,5.54499932,5.00857339,0.09699932,0.69857339
This work: CP2K/tblite k555 EOS,GFN-xTB,GFN1,MgO,4.09372042,5.87059643,-0.09527958,0.68059643
This work: CP2K/tblite k555 EOS,GFN-xTB,GFN1,MgS,5.06250261,3.65661582,-0.12549739,-0.38338418
This work: CP2K/tblite k555 EOS,GFN-xTB,GFN2,MgS,5.14415490,4.60431427,-0.04384510,0.56431427
This work: CP2K/tblite k555 EOS,GFN-xTB,GFN1,LiH,4.07234300,3.86322751,0.09334300,1.37322751
This work: CP2K/tblite k555 EOS,GFN-xTB,GFN1,LiF,3.74571747,5.21452523,-0.22728253,0.75452523
This work: CP2K/tblite k555 EOS,GFN-xTB,GFN2,LiF,4.00401309,4.88678535,0.03101309,0.42678535
This work: CP2K/tblite k555 EOS,GFN-xTB,GFN1,LiCl,4.80911827,4.61117332,-0.26288173,1.03117332
This work: CP2K/tblite k555 EOS,GFN-xTB,GFN2,LiCl,4.83005835,4.61096856,-0.24194165,1.03096856
Goldzak et al. 2022,post-HF,HF,C,3.54700000,5.38000000,-0.00600000,-2.17000000
Goldzak et al. 2022,post-HF,MP2,C,3.54000000,7.98000000,-0.01300000,0.43000000
Goldzak et al. 2022,post-HF,SCS-MP2,C,3.55000000,7.65000000,-0.00300000,0.10000000
Goldzak et al. 2022,post-HF,SOS-MP2,C,3.55400000,7.50000000,0.00100000,-0.05000000
Goldzak et al. 2022,post-HF,HF,Si,5.50800000,3.03000000,0.08700000,-1.67000000
Goldzak et al. 2022,post-HF,MP2,Si,5.39900000,4.97000000,-0.02200000,0.27000000
Goldzak et al. 2022,post-HF,SCS-MP2,Si,5.42500000,4.69000000,0.00400000,-0.01000000
Goldzak et al. 2022,post-HF,SOS-MP2,Si,5.43700000,4.56000000,0.01600000,-0.14000000
Goldzak et al. 2022,post-HF,HF,SiC,4.37100000,4.53000000,0.02400000,-1.94000000
Goldzak et al. 2022,post-HF,MP2,SiC,4.35000000,6.79000000,0.00300000,0.32000000
Goldzak et al. 2022,post-HF,SCS-MP2,SiC,4.35800000,6.49000000,0.01100000,0.02000000
Goldzak et al. 2022,post-HF,SOS-MP2,SiC,4.36200000,6.35000000,0.01500000,-0.12000000
Goldzak et al. 2022,post-HF,HF,BN,3.59600000,4.78000000,0.00300000,-1.98000000
Goldzak et al. 2022,post-HF,MP2,BN,3.59600000,7.13000000,0.00300000,0.37000000
Goldzak et al. 2022,post-HF,SCS-MP2,BN,3.60300000,6.92000000,0.01000000,0.16000000
Goldzak et al. 2022,post-HF,SOS-MP2,BN,3.60600000,6.82000000,0.01300000,0.06000000
Goldzak et al. 2022,post-HF,HF,BP,4.58400000,3.42000000,0.05900000,-1.72000000
Goldzak et al. 2022,post-HF,MP2,BP,4.49500000,5.58000000,-0.03000000,0.44000000
Goldzak et al. 2022,post-HF,SCS-MP2,BP,4.51700000,5.30000000,-0.00800000,0.16000000
Goldzak et al. 2022,post-HF,SOS-MP2,BP,4.52800000,5.16000000,0.00300000,0.02000000
Goldzak et al. 2022,post-HF,HF,AlN,4.36500000,3.86000000,-0.00300000,-1.99000000
Goldzak et al. 2022,post-HF,MP2,AlN,4.38800000,6.00000000,0.02000000,0.15000000
Goldzak et al. 2022,post-HF,SCS-MP2,AlN,4.38900000,5.85000000,0.02100000,0.00000000
Goldzak et al. 2022,post-HF,SOS-MP2,AlN,4.38900000,5.78000000,0.02100000,-0.07000000
Goldzak et al. 2022,post-HF,HF,AlP,5.54200000,2.71000000,0.09400000,-1.60000000
Goldzak et al. 2022,post-HF,MP2,AlP,5.44400000,4.42000000,-0.00400000,0.11000000
Goldzak et al. 2022,post-HF,SCS-MP2,AlP,5.46500000,4.23000000,0.01700000,-0.08000000
Goldzak et al. 2022,post-HF,SOS-MP2,AlP,5.47500000,4.14000000,0.02700000,-0.17000000
Goldzak et al. 2022,post-HF,HF,MgO,4.17600000,3.62000000,-0.01300000,-1.57000000
Goldzak et al. 2022,post-HF,MP2,MgO,4.22700000,5.37000000,0.03800000,0.18000000
Goldzak et al. 2022,post-HF,SCS-MP2,MgO,4.22400000,5.18000000,0.03500000,-0.01000000
Goldzak et al. 2022,post-HF,SOS-MP2,MgO,4.22300000,5.09000000,0.03400000,-0.10000000
Goldzak et al. 2022,post-HF,HF,MgS,5.28100000,2.78000000,0.09300000,-1.26000000
Goldzak et al. 2022,post-HF,MP2,MgS,5.17100000,4.20000000,-0.01700000,0.16000000
Goldzak et al. 2022,post-HF,SCS-MP2,MgS,5.19100000,3.97000000,0.00300000,-0.07000000
Goldzak et al. 2022,post-HF,SOS-MP2,MgS,5.20100000,3.86000000,0.01300000,-0.18000000
Goldzak et al. 2022,post-HF,HF,LiH,4.09400000,1.85000000,0.11500000,-0.64000000
Goldzak et al. 2022,post-HF,MP2,LiH,3.99600000,2.41000000,0.01700000,-0.08000000
Goldzak et al. 2022,post-HF,SCS-MP2,LiH,4.00900000,2.45000000,0.03000000,-0.04000000
