source,family,method,n_a,a_ME_A,a_MAE_A,a_RMSE_A,n_ecoh,ecoh_ME_eV_per_atom,ecoh_MAE_eV_per_atom,ecoh_RMSE_eV_per_atom
This work: CP2K/tblite k555 EOS,GFN-xTB,GFN1,12,0.01815986,0.13665006,0.15914522,12,1.39379706,1.45769443,1.65311368
This work: CP2K/tblite k555 EOS,GFN-xTB,GFN2,10,-0.00578455,0.06240968,0.08991429,10,1.10698251,1.29932483,1.58110318
Mo et al. 2017,DFT,HSE06,8,0.01712500,0.01962500,0.02534512,5,-0.20400000,0.20400000,0.21156559
Mo et al. 2017,DFT,LSDA,9,-0.03511111,0.03711111,0.04931757,5,0.69600000,0.69600000,0.76993506
Mo et al. 2017,DFT,PBE,9,0.05444444,0.05444444,0.05806892,5,-0.11200000,0.14000000,0.15735311
Mo et al. 2017,DFT,PBEsol,9,0.01600000,0.01800000,0.02250926,5,0.17800000,0.21400000,0.27066585
Mejia-Rodriguez and Trickey 2020,DFT,SCAN,11,0.00772727,0.00954545,0.01194305,11,0.00127273,0.05781818,0.07271364
Mejia-Rodriguez and Trickey 2020,DFT,SCAN-L,11,0.00909091,0.01272727,0.01708269,11,-0.10609091,0.11936364,0.13628346
Mo et al. 2017,DFT,TM,9,0.01966667,0.01966667,0.02162560,5,-0.12400000,0.12400000,0.13069047
Mo et al. 2017,DFT,TPSS,9,0.04033333,0.04033333,0.04173062,5,-0.30600000,0.30600000,0.33211444
Mo et al. 2017,DFT,optB86b-vdW,7,0.03185714,0.03185714,0.03517101,5,0.05000000,0.07000000,0.07987490
Mejia-Rodriguez and Trickey 2020,DFT,r2SCAN,11,0.01772727,0.01772727,0.02100000,11,-0.02381818,0.06381818,0.07192799
Mejia-Rodriguez and Trickey 2020,DFT,r2SCAN-L,11,0.01200000,0.01236364,0.01547432,11,-0.13472727,0.13636364,0.15424597
Mo et al. 2017,DFT,revTPSS,9,0.02244444,0.02244444,0.02655393,5,-0.21400000,0.21400000,0.21480223
Goldzak et al. 2022,post-HF,HF,12,0.05208333,0.05725000,0.07926801,12,-1.53666667,1.53666667,1.60591096
Goldzak et al. 2022,post-HF,MP2,12,-0.00325000,0.01958333,0.02397742,12,0.21500000,0.22833333,0.26080005
Goldzak et al. 2022,post-HF,SCS-MP2,12,0.01050000,0.01450000,0.01756891,12,0.02166667,0.05666667,0.07937254
Goldzak et al. 2022,post-HF,SOS-MP2,12,0.01708333,0.01708333,0.02018044,12,-0.07000000,0.08333333,0.10033278
