solid,method,energy_mesh,a_ref_A,a_old_A,a_new_A,a_delta_new_minus_old_A,a_error_old_A,a_error_new_A,ecoh_ref_eV_per_atom,ecoh_old_eV_per_atom,ecoh_new_eV_per_atom,ecoh_delta_new_minus_old_eV_per_atom,ecoh_error_old_eV_per_atom,ecoh_error_new_eV_per_atom
C,GFN1,k555,3.55300000,3.55797344,3.55851417,0.00054073,0.00497344,0.00551417,7.55000000,10.78744878,10.78279294,-0.00465584,3.23744878,3.23279294
C,GFN2,k555,3.55300000,3.55511423,3.55491553,-0.00019870,0.00211423,0.00191553,7.55000000,10.10043390,10.09995983,-0.00047407,2.55043390,2.54995983
Si,GFN1,k555,5.42100000,5.61418856,5.61868096,0.00449240,0.19318856,0.19768096,4.70000000,5.93927401,5.93281638,-0.00645763,1.23927401,1.23281638
Si,GFN2,k555,5.42100000,5.44331940,5.44617375,0.00285435,0.02231940,0.02517375,4.70000000,3.73951869,3.73828839,-0.00123030,-0.96048131,-0.96171161
SiC,GFN1,k555,4.34700000,4.55220486,4.52339062,-0.02881424,0.20520486,0.17639062,6.47000000,8.35744957,8.35259449,-0.00485508,1.88744957,1.88259449
SiC,GFN2,k555,4.34700000,4.45956139,4.41274812,-0.04681327,0.11256139,0.06574812,6.47000000,6.92306177,6.81746144,-0.10560033,0.45306177,0.34746144
BN,GFN1,k555,3.59300000,3.57822325,3.62519236,0.04696911,-0.01477675,0.03219236,6.76000000,8.45951808,8.29675279,-0.16276529,1.69951808,1.53675279
BN,GFN2,k555,3.59300000,3.56813613,3.63015014,0.06201401,-0.02486387,0.03715014,6.76000000,9.79309699,9.53859814,-0.25449885,3.03309699,2.77859814
BP,GFN1,k555,4.52500000,4.57876834,4.57849690,-0.00027144,0.05376834,0.05349690,5.14000000,6.19603732,6.19601643,-0.00002089,1.05603732,1.05601643
BP,GFN2,k555,4.52500000,4.56640981,4.55012571,-0.01628410,0.04140981,0.02512571,5.14000000,6.26344492,6.22508105,-0.03836387,1.12344492,1.08508105
AlN,GFN1,k555,4.36800000,4.71870184,4.61212107,-0.10658077,0.35070184,0.24412107,5.85000000,7.81923468,7.62348396,-0.19575072,1.96923468,1.77348396
AlN,GFN2,k555,4.36800000,4.14392289,4.31281556,0.16889267,-0.22407711,-0.05518444,5.85000000,8.68858862,8.39979471,-0.28879391,2.83858862,2.54979471
AlP,GFN1,k555,5.44800000,5.56992064,5.57412042,0.00419978,0.12192064,0.12612042,4.31000000,6.87068786,6.86496947,-0.00571839,2.56068786,2.55496947
AlP,GFN2,k555,5.44800000,5.53348987,5.54499932,0.01150945,0.08548987,0.09699932,4.31000000,5.03625609,5.00857339,-0.02768270,0.72625609,0.69857339
MgO,GFN1,k555,4.18900000,3.93359935,4.09372042,0.16012107,-0.25540065,-0.09527958,5.19000000,5.47866078,5.87059643,0.39193565,0.28866078,0.68059643
MgO,GFN2,k555,4.18900000,3.89762313,,,-0.29137687,,5.19000000,,,,,
MgS,GFN1,k555,5.18800000,4.96413014,5.06250261,0.09837247,-0.22386986,-0.12549739,4.04000000,3.59366970,3.65661582,0.06294612,-0.44633030,-0.38338418
MgS,GFN2,k555,5.18800000,4.99516337,5.14415490,0.14899153,-0.19283663,-0.04384510,4.04000000,4.51718196,4.60431427,0.08713231,0.47718196,0.56431427
LiH,GFN1,k555,3.97900000,4.00393175,4.07234300,0.06841125,0.02493175,0.09334300,2.49000000,3.80841900,3.86322751,0.05480851,1.31841900,1.37322751
LiH,GFN2,k555,3.97900000,,,,,,2.49000000,,,,,
LiF,GFN1,k555,3.97300000,3.64607389,3.74571747,0.09964358,-0.32692611,-0.22728253,4.46000000,5.24633886,5.21452523,-0.03181363,0.78633886,0.75452523
LiF,GFN2,k555,3.97300000,3.54098365,4.00401309,0.46302944,-0.43201635,0.03101309,4.46000000,6.54159577,4.88678535,-1.65481042,2.08159577,0.42678535
LiCl,GFN1,k555,5.07200000,4.87556998,4.80911827,-0.06645171,-0.19643002,-0.26288173,3.58000000,4.57850665,4.61117332,0.03266667,0.99850665,1.03117332
LiCl,GFN2,k555,5.07200000,4.87705243,4.83005835,-0.04699408,-0.19494757,-0.24194165,3.58000000,4.68106654,4.61096856,-0.07009798,1.10106654,1.03096856
