system,revPBE_vdW,rPW86_vdW2,optPBE_vdW,optB88_vdW,optB86b_vdW,LDA,PBEsol,PBE,experiment_ZPEC
Cu,2.93,2.81,3.35,3.52,3.70,4.55,4.04,3.49,3.52
Ag,2.16,2.15,2.57,2.76,2.90,3.64,3.06,2.50,2.97
Pd,3.18,3.13,3.71,3.96,4.16,5.08,4.43,3.71,3.92
Rh,5.12,4.92,5.81,6.10,6.40,7.67,6.73,5.82,5.78
Li,1.52,1.47,1.61,1.57,1.63,1.79,1.68,1.60,1.67
Na,1.01,0.90,1.09,1.04,1.10,1.24,1.15,1.08,1.13
K,0.84,0.75,0.91,0.88,0.92,1.01,0.93,0.86,0.94
Rb,0.76,0.69,0.84,0.81,0.85,0.92,0.83,0.77,0.86
Cs,0.72,0.66,0.80,0.79,0.81,0.87,0.77,0.70,0.81
Ca,1.62,1.40,1.82,1.88,1.99,2.21,2.11,1.90,1.86
Sr,1.36,1.13,1.56,1.61,1.73,1.90,1.81,1.61,1.73
Ba,1.68,1.52,1.90,1.99,2.08,2.24,2.12,1.88,1.91
Al,2.96,2.56,3.30,3.34,3.61,4.04,3.86,3.50,3.44
LiF,4.36,4.48,4.49,4.53,4.50,4.94,4.47,4.32,4.47
LiCl,3.47,3.51,3.58,3.61,3.60,3.83,3.55,3.42,3.59
NaF,3.89,3.95,4.00,4.02,4.00,4.38,3.95,3.82,3.98
NaCl,3.23,3.21,3.32,3.33,3.32,3.50,3.25,3.15,3.34
MgO,4.83,4.85,5.08,5.21,5.23,5.88,5.29,4.97,5.27
C,7.09,6.95,7.54,7.70,7.88,9.01,8.26,7.70,7.58
SiC,6.02,5.82,6.37,6.52,6.67,7.45,6.88,6.44,6.49
Si,4.35,4.05,4.60,4.74,4.87,5.34,4.95,4.62,4.68
Ge,3.43,3.09,3.76,3.90,4.01,4.62,4.15,3.72,3.86
GaAs,2.90,2.73,3.27,3.36,3.44,4.09,3.55,3.15,3.39
