system,category,structure,revPBE_vdW,rPW86_vdW2,optPBE_vdW,optB88_vdW,optB86b_vdW,LDA,PBEsol,PBE,experiment_ZPEC
Cu,transition_metal,fcc,3.708,3.757,3.655,3.632,3.605,3.517,3.569,3.635,3.595
Ag,transition_metal,fcc,4.254,4.331,4.174,4.141,4.101,4.010,4.059,4.154,4.056
Pd,transition_metal,fcc,4.014,4.086,3.960,3.941,3.909,3.836,3.876,3.943,3.875
Rh,transition_metal,fcc,3.882,3.945,3.843,3.831,3.805,3.755,3.780,3.830,3.793
Li,alkali_metal,bcc,3.453,3.396,3.440,3.432,3.452,3.363,3.436,3.437,3.449
Na,alkali_metal,bcc,4.233,4.156,4.195,4.169,4.191,4.054,4.174,4.200,4.210
K,alkali_metal,bcc,5.293,5.177,5.225,5.168,5.202,5.046,5.216,5.284,5.212
Rb,alkali_metal,bcc,5.672,5.550,5.584,5.506,5.541,5.373,5.572,5.671,5.576
Cs,alkali_metal,bcc,6.141,5.987,6.022,5.899,5.945,5.751,6.015,6.160,6.039
Ca,alkaline_earth_metal,fcc,5.555,5.493,5.502,5.450,5.465,5.328,5.461,5.533,5.553
Sr,alkaline_earth_metal,fcc,6.052,6.005,5.979,5.917,5.921,5.782,5.913,6.019,6.045
Ba,alkaline_earth_metal,bcc,5.073,5.058,4.987,4.917,4.906,4.747,4.894,5.028,4.995
Al,simple_metal,fcc,4.084,4.084,4.058,4.054,4.036,3.985,4.018,4.041,4.020
LiF,ionic,rocksalt,4.116,4.080,4.067,4.033,4.037,3.913,4.010,4.068,3.964
LiCl,ionic,rocksalt,5.223,5.204,5.153,5.114,5.103,4.968,5.067,5.152,5.056
NaF,ionic,rocksalt,4.752,4.693,4.693,4.647,4.658,4.502,4.636,4.708,4.579
NaCl,ionic,rocksalt,5.750,5.694,5.673,5.622,5.627,5.465,5.609,5.701,5.565
MgO,ionic,rocksalt,4.281,4.282,4.252,4.231,4.230,4.168,4.222,4.257,4.184
C,covalent,diamond,3.600,3.608,3.585,3.577,3.572,3.532,3.557,3.574,3.543
SiC,covalent,zincblende,4.406,4.424,4.386,4.375,4.369,4.329,4.354,4.377,4.342
Si,semiconductor,diamond,5.507,5.523,5.476,5.460,5.447,5.403,5.429,5.465,5.416
Ge,semiconductor,diamond,5.864,5.934,5.793,5.762,5.725,5.623,5.680,5.766,5.640
GaAs,semiconductor,zincblende,5.851,5.908,5.783,5.751,5.717,5.605,5.667,5.752,5.638
