system,category,structure,method,a0_A,a_ref_A,a_error_A,B0_GPa,B_ref_GPa,B_error_GPa,cohesive_eV_atom,cohesive_ref_eV_atom,cohesive_error_eV_atom,fit_rmse_meV_atom
Cu,transition_metal,fcc,GFN1,3.7914901862967434,3.595,0.1964901862967432,518.5067057962889,142.0,376.5067057962889,4.642694694972351,3.52,1.1226946949723513,0.04397607345543111
Ag,transition_metal,fcc,GFN1,4.215518744851603,4.056,0.1595187448516029,809.2953527474536,109.0,700.2953527474536,3.30147315390705,2.97,0.3314731539070497,0.5352165304704787
Ag,transition_metal,fcc,GFN2,4.116149917810082,4.056,0.060149917810082165,638.4679356461628,109.0,529.4679356461628,3.6755780467924675,2.97,0.7055780467924673,1.4300252135558098
Pd,transition_metal,fcc,GFN1,3.927502106595425,3.875,0.05250210659542498,1206.724188889602,195.0,1011.7241888896019,1.468491975007483,3.92,-2.451508024992517,2.4239263643377456
Pd,transition_metal,fcc,GFN2,4.009610443349509,3.875,0.13461044334950856,785.6400831244049,195.0,590.6400831244049,4.7276831222320075,3.92,0.8076831222320076,0.9197789409002228
Rh,transition_metal,fcc,GFN1,3.8367394491986095,3.793,0.04373944919860939,1699.7268256939742,269.0,1430.7268256939742,9.444088101424079,5.78,3.6640881014240785,1.7016556050675749
Rh,transition_metal,fcc,GFN2,3.8419333024922837,3.793,0.04893330249228356,1278.70443331247,269.0,1009.70443331247,8.483467815537876,5.78,2.703467815537876,1.130885200515871
Li,alkali_metal,bcc,GFN1,4.150307417339395,3.449,0.701307417339395,30.801966408059467,13.3,17.501966408059467,3.790239172835038,1.67,2.120239172835038,0.2113990680117323
Li,alkali_metal,bcc,GFN2,3.315177942728543,3.449,-0.1338220572714568,143.42689991478724,13.3,130.12689991478723,2.1542888090913452,1.67,0.4842888090913453,0.3272280307237886
Na,alkali_metal,bcc,GFN1,5.514570145419352,4.21,1.3045701454193521,84.93449623497968,7.5,77.43449623497968,3.5886237743630285,1.13,2.4586237743630286,0.2389533608585213
Na,alkali_metal,bcc,GFN2,5.22139270386689,4.21,1.01139270386689,127.2901445580327,7.5,119.7901445580327,1.6911494952460038,1.13,0.5611494952460039,2.072973632723454
K,alkali_metal,bcc,GFN1,5.617855895029928,5.212,0.40585589502992825,25.46293727641938,3.7,21.762937276419382,5.6693023165855205,0.94,4.729302316585521,0.0162353206066673
K,alkali_metal,bcc,GFN2,6.478716384854522,5.212,1.2667163848545222,172.76252628857515,3.7,169.06252628857516,1.6385818800731953,0.94,0.6985818800731953,0.6710703894552148
Rb,alkali_metal,bcc,GFN1,5.359930036302021,5.576,-0.21606996369797837,28.31997850268629,2.9,25.41997850268629,3.80753738199017,0.86,2.9475373819901702,0.04899570439293672
Rb,alkali_metal,bcc,GFN2,6.972985601241558,5.576,1.3969856012415587,146.24928813587255,2.9,143.34928813587254,2.229820102733179,0.86,1.3698201027331791,1.1288476472593738
Cs,alkali_metal,bcc,GFN1,6.339363706106908,6.039,0.300363706106908,12.956682400796899,2.1,10.856682400796899,3.871257012842661,0.81,3.061257012842661,0.030008752237668867
Cs,alkali_metal,bcc,GFN2,7.7092712429993915,6.039,1.6702712429993918,161.64198892532826,2.1,159.54198892532827,1.7543405315858087,0.81,0.9443405315858087,5.079705706871215
Ca,alkaline_earth_metal,fcc,GFN1,6.889314266916888,5.553,1.3363142669168884,89.41430821721329,18.4,71.01430821721328,1.2964592691138423,1.86,-0.5635407308861577,1.038589895750025
