system,category,property,method,value,reference,error,relative_error_percent,source
Cu,transition_metal,lattice_constant_A,revPBE_vdW,3.708,3.595,0.11299999999999999,3.143254520166905,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Cu,transition_metal,lattice_constant_A,rPW86_vdW2,3.757,3.595,0.16199999999999992,4.50625869262864,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Cu,transition_metal,lattice_constant_A,optPBE_vdW,3.655,3.595,0.05999999999999961,1.6689847009735637,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Cu,transition_metal,lattice_constant_A,optB88_vdW,3.632,3.595,0.03699999999999992,1.0292072322670265,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Cu,transition_metal,lattice_constant_A,optB86b_vdW,3.605,3.595,0.009999999999999787,0.2781641168289273,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Cu,transition_metal,lattice_constant_A,LDA,3.517,3.595,-0.07800000000000029,-2.1696801112656594,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Cu,transition_metal,lattice_constant_A,PBEsol,3.569,3.595,-0.026000000000000245,-0.7232267037552198,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Cu,transition_metal,lattice_constant_A,PBE,3.635,3.595,0.03999999999999959,1.112656467315709,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Ag,transition_metal,lattice_constant_A,revPBE_vdW,4.254,4.056,0.1979999999999995,4.881656804733714,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Ag,transition_metal,lattice_constant_A,rPW86_vdW2,4.331,4.056,0.27500000000000036,6.780078895463526,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Ag,transition_metal,lattice_constant_A,optPBE_vdW,4.174,4.056,0.11800000000000033,2.909270216962523,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Ag,transition_metal,lattice_constant_A,optB88_vdW,4.141,4.056,0.08499999999999996,2.0956607495069113,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Ag,transition_metal,lattice_constant_A,optB86b_vdW,4.101,4.056,0.04499999999999993,1.1094674556213047,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Ag,transition_metal,lattice_constant_A,LDA,4.01,4.056,-0.04600000000000026,-1.1341222879684532,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Ag,transition_metal,lattice_constant_A,PBEsol,4.059,4.056,0.0030000000000001137,0.07396449704142327,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
